facility_name,facility_type_id,facility_type_name,county,street_address,city,state_code,zip_code,territory_id
HENDERSON - MAIN OFFICE,1,Post Office,RUSK,505 S MAIN ST,HENDERSON,TX,75654,
HEREFORD - MAIN OFFICE,1,Post Office,DEAF SMITH,408 MAIN ST,HEREFORD,TX,79045,
HEWITT - MAIN OFFICE,1,Post Office,MCLENNAN,901 S HEWITT DR,HEWITT,TX,76643,
HIGH ISLAND - MAIN OFFICE,1,Post Office,GALVESTON,2008 S 5TH ST,HIGH ISLAND,TX,77623,
HIGHLANDS - MAIN OFFICE,1,Post Office,HARRIS,608 S MAIN ST,HIGHLANDS,TX,77562,
HILLISTER - MAIN OFFICE,1,Post Office,TYLER,283 FM 1013 RD,HILLISTER,TX,77624,
HITCHCOCK - MAIN OFFICE,1,Post Office,GALVESTON,8210 HIGHWAY 6,HITCHCOCK,TX,77563,
HONEY GROVE - MAIN OFFICE,1,Post Office,FANNIN,100 E MAIN ST,HONEY GROVE,TX,75446,
HOUSTON - MEMORIAL PARK STA,1,Post Office,HARRIS,10505 TOWN AND COUNTRY WAY,HOUSTON,TX,77024,
HOUSTON - WESTBRAE STATION,1,Post Office,HARRIS,10910 S GESSNER RD,HOUSTON,TX,77071,
HOUSTON - GENOA STATION,1,Post Office,HARRIS,10935 ALMEDA GENOA RD,HOUSTON,TX,77034,
HOUSTON - BEECHNUT STATION,1,Post Office,HARRIS,11703 BEECHNUT ST,HOUSTON,TX,77072,
HOUSTON - WESTBURY PLACE STATION,1,Post Office,HARRIS,11805 CHIMNEY ROCK RD,HOUSTON,TX,77035,
HOUSTON - ASHFORD WEST STATION,1,Post Office,HARRIS,12655 WHITTINGTON DR,HOUSTON,TX,77077,
HOUSTON - WILLOW PLACE BRANCH,1,Post Office,HARRIS,12955 WILLOW PLACE DR W,HOUSTON,TX,77070,
HOUSTON - UNIVERSITY STATION,1,Post Office,HARRIS,1319 RICHMOND AVE,HOUSTON,TX,77006,
HOUSTON - CORNERSTONE STATION,1,Post Office,HARRIS,14403 WALTERS RD,HOUSTON,TX,77014,
HOUSTON - ALBERT THOMAS STATION,1,Post Office,HARRIS,14917 EL CAMINO REAL,HOUSTON,TX,77062,
HOUSTON - GREENS NORTH VMF,2,Vehicle Maintenance,HARRIS,1530 GREENSMARK DR BLDG A,HOUSTON,TX,77067,
HOUSTON - GREENS NORTH STATION,1,Post Office,HARRIS,1530 GREENSMARK DR,HOUSTON,TX,77067,
HOUSTON - BEAR CREEK STATION; BEARCREEK VMF,2,Vehicle Maintenance,HARRIS,16015 CAIRNWAY DR,HOUSTON,TX,77084,
HOUSTON - WESTFIELD STATION,1,Post Office,HARRIS,17119 RED OAK DR,HOUSTON,TX,77090,
HOUSTON - RIVER OAKS STATION,1,Post Office,HARRIS,1900 W GRAY ST,HOUSTON,TX,77019,
HOUSTON - OAK FOREST STATION,1,Post Office,HARRIS,2499 JUDIWAY ST,HOUSTON,TX,77018,
HOUSTON - CENTRAL VMF,2,Vehicle Maintenance,HARRIS,2801 WASHINGTON AVE,HOUSTON,TX,77007,
HOUSTON - JULIUS MELCHER STA,1,Post Office,HARRIS,2802 TIMMONS LN,HOUSTON,TX,77027,
Houston - Debora Sue Schatz Sta,1,Post Office,HARRIS,2909 ROGERDALE RD,HOUSTON,TX,77042,
HOUSTON - RICH HILL STATION,1,Post Office,HARRIS,2950 UNITY DR,HOUSTON,TX,77057,
HOUSTON - ALMEDA STATION,1,Post Office,HARRIS,3030 W FUQUA ST,HOUSTON,TX,77045,
HOUSTON - FLEETWOOD STATION,1,Post Office,HARRIS,315 ADDICKS HOWELL RD,HOUSTON,TX,77079,
HOUSTON - GREENBRIAR STATION,1,Post Office,HARRIS,3740 GREENBRIAR DR,HOUSTON,TX,77098,
HOUSTON - BROADWAY STATION,1,Post Office,HARRIS,4020 BROADWAY ST,HOUSTON,TX,77087,
HOUSTON - SOUTHMORE STATION,1,Post Office,HARRIS,4110 ALMEDA RD,HOUSTON,TX,77004,
HOUSTON - WILLIAM RICE,1,Post Office,HARRIS,5201 WAKEFOREST ST,HOUSTON,TX,77005,
HOUSTON - PARK PLACE STATION; PARK PLACE VMF,2,Vehicle Maintenance,HARRIS,5302 GALVESTON RD,HOUSTON,TX,77017,
HOUSTON - GRANVILLE W ELDER STA,1,Post Office,HARRIS,550 MAXEY RD,HOUSTON,TX,77013,
HOUSTON - DENVER HARBOR STN,1,Post Office,HARRIS,5901 MARKET ST,HOUSTON,TX,77020,
HOUSTON - DE MOSS STATION,1,Post Office,HARRIS,6500 DE MOSS DR,HOUSTON,TX,77074,
HOUSTON - FAIRBANKS STATION,1,Post Office,HARRIS,7050 BROOKHOLLOW WEST DR,HOUSTON,TX,77040,
HOUSTON - MEDICAL CENTER STA,1,Post Office,HARRIS,7205 ALMEDA RD,HOUSTON,TX,77054,
HOUSTON - N SHEPHERD STATION,1,Post Office,HARRIS,7511 N SHEPHERD DR,HOUSTON,TX,77088,
HOUSTON - LONG POINT STATION,1,Post Office,HARRIS,8000 LONG POINT RD,HOUSTON,TX,77055,
HOUSTON - JOHN DUNLOP STATION,1,Post Office,HARRIS,8728 BEVERLYHILL ST,HOUSTON,TX,77063,
HOUSTON - COPPERFIELD CARRIER ANNEX,1,Post Office,HARRIS,8825 HIGHWAY 6 N,HOUSTON,TX,77095,
HOUSTON - JAMES S GRIFFITH STA,1,Post Office,HARRIS,9320 EMNORA LN,HOUSTON,TX,77080,
HOUSTON - MARTIN LUTHER KING ST,1,Post Office,HARRIS,9444 CULLEN BLVD,HOUSTON,TX,77051,
HOUSTON - WINDMILL STATION,1,Post Office,HARRIS,9898 ALMEDA GENOA RD,HOUSTON,TX,77075,
HOWE - MAIN OFFICE,1,Post Office,GRAYSON,101 W HANING ST,HOWE,TX,75459,
HUFFMAN - MAIN OFFICE,1,Post Office,HARRIS,24936 FM 2100 RD,HUFFMAN,TX,77336,
HUMBLE - MAIN OFFICE,1,Post Office,HARRIS,1202 1ST ST E,HUMBLE,TX,77338,
HUMBLE - KINGWOOD BRANCH,1,Post Office,HARRIS,4025 FEATHER LAKES WAY,KINGWOOD,TX,77339,
HUNTSVILLE - RETAIL / FINANCE UNIT,1,Post Office,WALKER,1315 10TH ST,HUNTSVILLE,TX,77320,
HUNTSVILLE - MAIN OFFICE,1,Post Office,WALKER,3190 HIGHWAY 30 W,HUNTSVILLE,TX,77340,
HURST - NORTH STATION,1,Post Office,TARRANT,777 CANNON DR,HURST,TX,76054,
INGRAM - MAIN OFFICE,1,Post Office,KERR,3190 JUNCTION HWY,INGRAM,TX,78025,
IRVING - CENTRAL STATION,1,Post Office,DALLAS,2300 STORY RD W,IRVING,TX,75038,
IRVING - LAS COLINAS FINANCE STA,1,Post Office,DALLAS,3900 TELEPORT BLVD,IRVING,TX,75039,
IRVING - VALLEY RANCH,1,Post Office,DALLAS,8501 N MACARTHUR BLVD,IRVING,TX,75063,
JACKSONVILLE - MAIN OFFICE,1,Post Office,CHEROKEE,400 W RUSK ST,JACKSONVILLE,TX,75766,
JARRELL - MAIN POST OFFICE,1,Post Office,WILLIAMSON,12355 N INTERSTATE 35,JARRELL,TX,76537,
JASPER - MAIN OFFICE,1,Post Office,JASPER,215 N BOWIE ST,JASPER,TX,75951,
JOHNSON CITY - MAIN OFFICE,1,Post Office,BLANCO,201 S AVENUE G,JOHNSON CITY,TX,78636,
JOSHUA - MAIN OFFICE,1,Post Office,JOHNSON,306 N BROADWAY ST,JOSHUA,TX,76058,
KATY - CARRIER ANNEX,1,Post Office,HARRIS,1331 PIN OAK RD,KATY,TX,77494,
KATY - PARK ROW BRANCH,1,Post Office,HARRIS,20180 PARK ROW DR,KATY,TX,77449,
KAUFMAN - MAIN OFFICE,1,Post Office,KAUFMAN,2231 S WASHINGTON ST,KAUFMAN,TX,75142,
KELLER - MAIN OFFICE,1,Post Office,TARRANT,520 E VINE ST,KELLER,TX,76248,
KENEDY - MAIN OFFICE,1,Post Office,KARNES,223 S 2ND ST,KENEDY,TX,78119,
KERRVILLE - MAIN OFFICE,1,Post Office,KERR,244 CULLY DR,KERRVILLE,TX,78028,
KILDARE - MPO/MODULAR BLDG,1,Post Office,CASS,1315 COUNTY ROAD 1894,KILDARE,TX,75562,
KILGORE - MAIN OFFICE,1,Post Office,GREGG,500 N KILGORE ST,KILGORE,TX,75662,
KILLEEN - MAIN OFFICE,1,Post Office,BELL,300 N 10TH ST,KILLEEN,TX,76541,
KILLEEN - COPPER MOUNTAIN STA,1,Post Office,BELL,3100 S W S YOUNG DR,KILLEEN,TX,76542,
KINGSBURY - MO/MODULAR BLDG,1,Post Office,GUADALUPE,10055 E HIGHWAY 90,KINGSBURY,TX,78638,
KINGSVILLE - MAIN OFFICE,1,Post Office,KLEBERG,103 E KLEBERG AVE,KINGSVILLE,TX,78363,
KNOTT - MPO/MODULAR BLDG,1,Post Office,HOWARD,5900 W FM 846,KNOTT,TX,79748,
LA GRANGE - MAIN OFFICE,1,Post Office,FAYETTE,113 E COLORADO ST,LA GRANGE,TX,78945,
LA MARQUE - MAIN OFFICE,1,Post Office,GALVESTON,509 LAUREL ST,LA MARQUE,TX,77568,
LA PORTE - MAIN OFFICE,1,Post Office,HARRIS,801 W FAIRMONT PKWY,LA PORTE,TX,77571,
LAKE JACKSON - MAIN OFFICE,1,Post Office,BRAZORIA,210 OAK DR S,LAKE JACKSON,TX,77566,
LAMESA - MAIN OFFICE,1,Post Office,DAWSON,202 N AVENUE G,LAMESA,TX,79331,
LAREDO - DEL MAR STATION,1,Post Office,WEBB,2395 E DEL MAR BLVD,LAREDO,TX,78045,
LAREDO - MAIN OFFICE; VMF,1,Post Office,WEBB,2700 E SAUNDERS ST,LAREDO,TX,78041,
LASALLE - MO/MODULAR BLDG,1,Post Office,JACKSON,1999 FM 616,LA SALLE,TX,77969,
LASARA - MO/MODULAR BLDG,1,Post Office,WILLACY,12056 FM 1015,LASARA,TX,78561,
LEAGUE CITY - MAIN OFFICE,1,Post Office,GALVESTON,240 W GALVESTON ST,LEAGUE CITY,TX,77573,
LEANDER - MAIN OFFICE,1,Post Office,WILLIAMSON,801 S HIGHWAY 183,LEANDER,TX,78641,
LEDBETTER - MPO/MODULAR BLDG.,1,Post Office,FAYETTE,104 CHAPPEL ST,LEDBETTER,TX,78946,
LEESVILLE - MO/MODULAR BLDG,1,Post Office,GONZALES,9606 N STATE HIGHWAY 80,LEESVILLE,TX,78122,
LEONA - MO/MODULAR BLDG,1,Post Office,LEON,143 N LEONA BLVD,LEONA,TX,75850,
LEVELLAND - MAIN OFFICE,1,Post Office,HOCKLEY,712 AVENUE G,LEVELLAND,TX,79336,
LEWISVILLE - MAIN OFFICE,1,Post Office,DENTON,194 CIVIC CIR,LEWISVILLE,TX,75067,
LEWISVILLE - FLOWER MOUND BRANCH,1,Post Office,DENTON,2300 OLYMPIA DR,FLOWER MOUND,TX,75028,
LEWISVILLE - THE COLONY BRANCH,1,Post Office,DENTON,5200 S COLONY BLVD,THE COLONY,TX,75056,
LIBERTY - MAIN OFFICE,1,Post Office,LIBERTY,1515 SAM HOUSTON ST,LIBERTY,TX,77575,
LINDEN - MAIN OFFICE,1,Post Office,CASS,200 E RUSH ST,LINDEN,TX,75563,
LISSIE - MPO/MODULAR BLDG,1,Post Office,WHARTON,213 RAYMOND AVE,LISSIE,TX,77454,
LITTLE ELM - MAIN OFFICE,1,Post Office,DENTON,1012 W ELDORADO PKWY,LITTLE ELM,TX,75068,
LIVERPOOL - MAIN OFFICE,1,Post Office,BRAZORIA,2320 MAIN ST,LIVERPOOL,TX,77577,
LIVINGSTON - MAIN OFFICE,1,Post Office,POLK,1325 W CHURCH ST,LIVINGSTON,TX,77351,
LOCKHART - MAIN OFFICE,1,Post Office,CALDWELL,217 W MARKET ST,LOCKHART,TX,78644,
LODI - MO/MODULAR BLDG,1,Post Office,MARION,6819 FM 248 S,LODI,TX,75564,
LOMETA - MAIN OFFICE,1,Post Office,LAMPASAS,116 E ELM ST,LOMETA,TX,76853,
LONGVIEW - DOWNTOWN STATION,1,Post Office,GREGG,201 E METHVIN ST,LONGVIEW,TX,75601,
LONGVIEW - MAIN OFFICE,1,Post Office,GREGG,2336 S MOBBERLY AVE,LONGVIEW,TX,75602,
LONGVIEW - NORTHWEST STATION,1,Post Office,GREGG,4501 MCCANN RD,LONGVIEW,TX,75605,
LOPENO - MPO/MODULAR BLDG,1,Post Office,ZAPATA,305 1ST ST,LOPENO,TX,78564,
LORENZO - MAIN OFFICE,1,Post Office,CROSBY,225 HIGHWAY 62,LORENZO,TX,79343,
LUBBOCK - MAIN OFFICE/ P&DC; VMF,5,Mail Processing,LUBBOCK,1515 CRICKETS AVE,LUBBOCK,TX,79402,
LUBBOCK - MONTEREY STATION,1,Post Office,LUBBOCK,5014 GARY AVE,LUBBOCK,TX,79413,
LUFKIN - MAIN OFFICE,1,Post Office,ANGELINA,800 S JOHN REDDITT DR,LUFKIN,TX,75904,
LULING - MAIN OFFICE,1,Post Office,CALDWELL,517 E CROCKETT ST,LULING,TX,78648,
MAGNOLIA - MAIN OFFICE,1,Post Office,MONTGOMERY,815 GOODSON RD,MAGNOLIA,TX,77355,
MANSFIELD - MAIN OFFICE,1,Post Office,TARRANT,752 N MAIN ST,MANSFIELD,TX,76063,
MARBLE FALLS - MAIN OFFICE,1,Post Office,BURNET,1212 N US HIGHWAY 281,MARBLE FALLS,TX,78654,
MARLIN - MAIN OFFICE,1,Post Office,FALLS,207 COLEMAN ST,MARLIN,TX,76661,
MARSHALL - MAIN OFFICE,1,Post Office,HARRISON,202 E TRAVIS ST,MARSHALL,TX,75670,
MART - MAIN OFFICE,1,Post Office,MCLENNAN,301 E TEXAS AVE,MART,TX,76664,
MCADOO - MAIN OFFICE,1,Post Office,DICKENS,104 S MAIN ST,MCADOO,TX,79243,
MCALLEN - NEW DOWNTOWN STA,1,Post Office,HIDALGO,406 S 12TH ST,MCALLEN,TX,78501,
MCALLEN - AUXILIARY VMF; Main Office; P&DC,5,Mail Processing,HIDALGO,620 E PECAN BLVD,MCALLEN,TX,78501,
MCCAULLEY - MPO/MODULAR BLDG,1,Post Office,FISHER,1238 COUNTY ROAD 764,MC CAULLEY,TX,79534,
MCFADDIN - MPO/MODULAR BLDG,1,Post Office,VICTORIA,2207 FM 445,MCFADDIN,TX,77973,
MCKINNEY - MAIN OFFICE,1,Post Office,COLLIN,550 N CENTRAL EXPY,MCKINNEY,TX,75070,
MEMPHIS - MAIN OFFICE,1,Post Office,HALL,700 W MAIN ST,MEMPHIS,TX,79245,
MERCEDES - MAIN OFFICE,1,Post Office,HIDALGO,307 STARR ST,MERCEDES,TX,78570,
MERETA - MAIN OFFICE MODULAR,1,Post Office,TOM GREEN,997 BROADWAY ST,MERETA,TX,76940,
MEXIA - MAIN OFFICE,1,Post Office,LIMESTONE,100 N MCKINNEY ST,MEXIA,TX,76667,
MIDLAND - GRAVES STATION,1,Post Office,MIDLAND,3304 W WADLEY AVE,MIDLAND,TX,79707,
MIDLAND - CLAY DESTA STATION,1,Post Office,MIDLAND,612 VETERANS AIRPARK LN,MIDLAND,TX,79705,
MILLERSVIEW - MPO/MODULAR BLDG,1,Post Office,CONCHO,8090 FM 765 E,MILLERSVIEW,TX,76862,
MISSION - MAIN OFFICE,1,Post Office,HIDALGO,901 N FRANCISCO AVE,MISSION,TX,78572,
MISSOURI CITY - MAIN OFFICE,1,Post Office,FORT BEND,1902 TEXAS PKWY,MISSOURI CITY,TX,77489,
MISSOURI CITY - CARRIER ANNEX,1,Post Office,FORT BEND,3701 GLENN LAKES LN,MISSOURI CITY,TX,77459,
MONAHANS - MAIN OFFICE,1,Post Office,WARD,201 S BETTY AVE,MONAHANS,TX,79756,
MONTALBA - MAIN OFFICE,1,Post Office,ANDERSON,200 E FM 321,MONTALBA,TX,75853,
MONTGOMERY - Carrier Annex,1,Post Office,MONTGOMERY,21359 EVA ST,MONTGOMERY,TX,77356,
NACOGDOCHES - MAIN OFFICE,1,Post Office,NACOGDOCHES,3007 N UNIVERSITY DR,NACOGDOCHES,TX,75965,
NAPLES - MAIN OFFICE,1,Post Office,MORRIS,203 MAIN ST,NAPLES,TX,75568,
NAVASOTA - MAIN OFFICE,1,Post Office,GRIMES,115 FARQUHAR ST,NAVASOTA,TX,77868,
NEMO - MAIN OFFICE,1,Post Office,SOMERVELL,1015 County Rd 407,NEMO,TX,76070,
NEW BRAUNFELS - MAIN OFFICE,1,Post Office,COMAL,686 S SEGUIN AVE,NEW BRAUNFELS,TX,78130,
NEW CANEY - MAIN OFFICE,1,Post Office,MONTGOMERY,20811 US HIGHWAY 59,NEW CANEY,TX,77357,
NOCONA - MAIN OFFICE,1,Post Office,MONTAGUE,400 CLAY ST,NOCONA,TX,76255,
NOVICE - MPO/MODULAR BLDG,1,Post Office,COLEMAN,700 PARKER ST,NOVICE,TX,79538,
ODESSA - NORTHEAST STATION,1,Post Office,ECTOR,4551 E 52ND ST,ODESSA,TX,79762,
OLD GLORY - MPO/MODULAR BLDG,1,Post Office,STONEWALL,9080 FM 1835,OLD GLORY,TX,79540,
OLTON - MAIN OFFICE,1,Post Office,LAMB,416 8TH ST,OLTON,TX,79064,
ORANGE - MAIN OFFICE,1,Post Office,ORANGE,500 4TH ST,ORANGE,TX,77630,
ORE CITY - MAIN OFFICE,1,Post Office,UPSHUR,203 US HIGHWAY 259 S,ORE CITY,TX,75683,
ORLA - MPO/MODULAR BLDG,1,Post Office,REEVES,3737 N HIGHWAY 285,ORLA,TX,79770,
PALESTINE - MAIN OFFICE,1,Post Office,ANDERSON,1213 N LINK ST,PALESTINE,TX,75803,
PAMPA - MAIN OFFICE,1,Post Office,GRAY,120 E FOSTER AVE,PAMPA,TX,79065,
PANDORA - MPO/MODULAR BLDG,1,Post Office,WILSON,8547 FM 1107,PANDORA,TX,78143,
PARIS - MPO,1,Post Office,LAMAR,500 CLARKSVILLE ST,PARIS,TX,75460,
PEARLAND - SILVERLAKE STATION,1,Post Office,BRAZORIA,2700 CULLEN BLVD,PEARLAND,TX,77584,
PEARLAND - MAIN OFFICE,1,Post Office,BRAZORIA,3519 E WALNUT ST,PEARLAND,TX,77581,
PECOS - MAIN OFFICE,1,Post Office,REEVES,106 W 4TH ST,PECOS,TX,79772,
PENNINGTON - MPO/MODULAR BLDG,1,Post Office,TRINITY,6552 FM 2781,PENNINGTON,TX,75856,
PETERSBURG - MAIN OFFICE,1,Post Office,HALE,1501 E 1ST ST,PETERSBURG,TX,79250,
PFLUGERVILLE - MAIN OFFICE,1,Post Office,TRAVIS,301 S HEATHERWILDE BLVD,PFLUGERVILLE,TX,78660,
PIERCE - MPO/MODULAR BLDG,1,Post Office,WHARTON,18566 LOOP 526 HWY,PIERCE,TX,77467,
PLAINVIEW - MAIN OFFICE,1,Post Office,HALE,725 ASH ST,PLAINVIEW,TX,79072,
Plano Southern Area - (NFRL DO NOT ENTER CALL),3,Administrative Office,COLLIN,660 DATA DR STE 300,PLANO,TX,75075,
PLANO - DOWNTOWN STATION,1,Post Office,COLLIN,1112 18TH ST,PLANO,TX,75074,
PLANO - MAIN OFFICE,1,Post Office,COLLIN,1200 JUPITER RD,PLANO,TX,75074,
PLANO - WILDCAT STATION,1,Post Office,COLLIN,2901 W PARKER RD,PLANO,TX,75023,
PLANO - COIT STATION,1,Post Office,COLLIN,3400 COIT RD,PLANO,TX,75075,
PLANO - NORTHWEST STATION,1,Post Office,COLLIN,3905 HEDGCOXE RD,PLANO,TX,75025,
PLEDGER - MPO/MODULAR BLDG,1,Post Office,MATAGORDA,9463 FM 1728 RD,PLEDGER,TX,77468,
PONTOTOC - MPO/MODULAR BLDG,1,Post Office,MASON,17658 COLLEGE ST,PONTOTOC,TX,76869,
PORT ARTHUR - MAIN OFFICE,1,Post Office,JEFFERSON,345 LAKESHORE DR,PORT ARTHUR,TX,77640,
PORT ISABEL - SOUTH PADRE ISLAND BR,1,Post Office,CAMERON,4701 PADRE BLVD,SOUTH PADRE ISLAND,TX,78597,
PORTER - MAIN OFFICE,1,Post Office,MONTGOMERY,23550 PARTNERS WAY,PORTER,TX,77365,
PORTLAND - MAIN OFFICE,1,Post Office,SAN PATRICIO,120 LANG RD,PORTLAND,TX,78374,
PRAIRIE VIEW - MAIN OFFICE,1,Post Office,WALLER,21212 FM 1098 LOOP,PRAIRIE VIEW,TX,77446,
PROSPER - MAIN OFFICE,1,Post Office,COLLIN,941 N COLEMAN ST,PROSPER,TX,75078,
PURDON - MPO/MODULAR BLDG,1,Post Office,NAVARRO,700 S BROWN ST,PURDON,TX,76679,
PURMELA - MPO/MODULAR BLDG,1,Post Office,CORYELL,12250 W US HIGHWAY 84,PURMELA,TX,76566,
QUANAH - MAIN OFFICE,1,Post Office,HARDEMAN,219 W 3RD ST,QUANAH,TX,79252,
RANGER - MAIN OFFICE,1,Post Office,EASTLAND,202 N AUSTIN ST,RANGER,TX,76470,
RANKIN - MAIN OFFICE,1,Post Office,UPTON,819 S GRAND ST,RANKIN,TX,79778,
RAYMONDVILLE - MAIN OFFICE,1,Post Office,WILLACY,705 E HIDALGO AVE,RAYMONDVILLE,TX,78580,
REAGAN - MPO/MODULAR BLDG,1,Post Office,FALLS,3700 FM 413,REAGAN,TX,76680,
RED OAK - MAIN OFFICE,1,Post Office,ELLIS,104 E OVILLA RD,RED OAK,TX,75154,
REFUGIO - MAIN OFFICE,1,Post Office,REFUGIO,507 OSAGE ST,REFUGIO,TX,78377,
REKLAW - MO/MODULAR BLDG,1,Post Office,RUSK,320 N MAIN ST,REKLAW,TX,75784,
RICHARDSON - HUFFHINES PARK STATIO,1,Post Office,DALLAS,1206 APOLLO RD,RICHARDSON,TX,75081,
RICHARDSON - MAIN OFFICE,1,Post Office,DALLAS,433 BELLE GROVE DR,RICHARDSON,TX,75080,
RICHMOND - MAIN OFFICE,1,Post Office,FORT BEND,5560 FM 1640 RD,RICHMOND,TX,77469,
RIO FRIO - MPO/MODULAR BLDG,1,Post Office,REAL,5615 RANCH ROAD 1120,RIO FRIO,TX,78879,
ROANOKE - MAIN OFFICE,1,Post Office,DENTON,516 E BYRON NELSON BLVD,ROANOKE,TX,76262,
ROBSTOWN - MAIN OFFICE,1,Post Office,NUECES,313 E MAIN AVE,ROBSTOWN,TX,78380,
ROCKDALE - MAIN OFFICE,1,Post Office,MILAM,234 ACKERMAN ST,ROCKDALE,TX,76567,
ROCKPORT - MAIN OFFICE,1,Post Office,ARANSAS,1550 FM 2165,ROCKPORT,TX,78382,
ROCKWALL - MAIN OFFICE,1,Post Office,ROCKWALL,609 S GOLIAD ST,ROCKWALL,TX,75087,
ROPESVILLE - MAIN OFFICE,1,Post Office,HOCKLEY,403 TIMMONS AVE,ROPESVILLE,TX,79358,
ROSENBERG - MAIN OFFICE,1,Post Office,FORT BEND,2103 AVENUE G,ROSENBERG,TX,77471,
ROSHARON - MAIN OFFICE,1,Post Office,BRAZORIA,1810 E FM 1462 RD,ROSHARON,TX,77583,
ROUND ROCK - FRONTIER STATION,1,Post Office,WILLIAMSON,2250 DOUBLE CREEK DR,ROUND ROCK,TX,78664,
ROUND ROCK - MAIN OFFICE,1,Post Office,WILLIAMSON,797 SAM BASS RD,ROUND ROCK,TX,78681,
ROWLETT - MAIN OFFICE,1,Post Office,DALLAS,3416 ENTERPRISE DR,ROWLETT,TX,75088,
RUSK - MAIN OFFICE,1,Post Office,CHEROKEE,112 W 5TH ST,RUSK,TX,75785,
SAN ANGELO - MAIN OFFICE; VMF,2,Vehicle Maintenance,TOM GREEN,1 N ABE ST,SAN ANGELO,TX,76902,
SAN ANGELO - SOUTHWEST STATION,1,Post Office,TOM GREEN,3201 LOOP 306,SAN ANGELO,TX,76904,
SAN ANTONIO - AIRPORT STATION (AMF),1,Post Office,BEXAR,10250 JOHN SAUNDERS RD,SAN ANTONIO,TX,78216,
SAN ANTONIO - NIMITZ CARRIER ANNEX,1,Post Office,BEXAR,10330 DESERT SANDS ST,SAN ANTONIO,TX,78216,
SAN ANTONIO - BEACON HILL STA,1,Post Office,BEXAR,1064 VANCE JACKSON,SAN ANTONIO,TX,78201,
San Antonio - Alamo Hgts. Finance Unit,1,Post Office,BEXAR,1107 Austin Highway,San Antonio,TX,78209,
SAN ANTONIO - ARSENAL STATION,1,Post Office,BEXAR,1140 S LAREDO ST,SAN ANTONIO,TX,78204,
SAN ANTONIO - LOCKHILL STATION,1,Post Office,BEXAR,12951 HUEBNER RD,SAN ANTONIO,TX,78230,
SAN ANTONIO - THOUSAND OAKS STATION,1,Post Office,BEXAR,15610 HENDERSON PASS,SAN ANTONIO,TX,78232,
SAN ANTONIO - ALAMO HEIGHTS CAX/SERNA,1,Post Office,BEXAR,1948 AUSTIN HWY,SAN ANTONIO,TX,78218,
SAN ANTONIO - ENCINO PARK STATION,1,Post Office,BEXAR,20403 ENCINO LEDGE,SAN ANTONIO,TX,78259,
SAN ANTONIO - LAUREL HEIGHTS STA,1,Post Office,BEXAR,2400 MCCULLOUGH AVE,SAN ANTONIO,TX,78212,
SAN ANTONIO - S TEXAS MED CEN STA,1,Post Office,BEXAR,4835 MEDICAL DR,SAN ANTONIO,TX,78229,
SAN ANTONIO - J FRANK DOBIE STA,1,Post Office,BEXAR,4950 E HOUSTON ST,SAN ANTONIO,TX,78220,
SAN ANTONIO - CEDAR ELM STATION,1,Post Office,BEXAR,5837 DE ZAVALA RD,SAN ANTONIO,TX,78249,
SAN ANTONIO - LEON VALLEY STATION,1,Post Office,BEXAR,6825 HUEBNER RD,SAN ANTONIO,TX,78238,
SAN ANTONIO - HERITAGE STATION,1,Post Office,BEXAR,702 RICHLAND HILLS DR,SAN ANTONIO,TX,78245,
SAN ANTONIO - FRANK M TEJEDA STATION,1,Post Office,BEXAR,7411 BARLITE BLVD,SAN ANTONIO,TX,78224,
SAN ANTONIO - NORTH BROADWAY STATIO,1,Post Office,BEXAR,9211 BROADWAY,SAN ANTONIO,TX,78217,
SAN MARCOS - MAIN OFFICE,1,Post Office,HAYS,210 S STAGECOACH TRL,SAN MARCOS,TX,78666,
SANTA FE - MAIN OFFICE,1,Post Office,GALVESTON,13002 HIGHWAY 6,SANTA FE,TX,77510,
SANTA MARIA - MAIN OFFICE MODULAR BLDG,1,Post Office,CAMERON,11175 MILITARY RD,SANTA MARIA,TX,78592,
SARATOGA - MAIN OFFICE,1,Post Office,HARDIN,17019 FM 770,SARATOGA,TX,77585,
SARITA - MO/MODULAR BLDG,1,Post Office,KENEDY,103 N MALLORY ST,SARITA,TX,78385,
SCHERTZ - MAIN OFFICE,1,Post Office,GUADALUPE,1081 ELBEL RD,SCHERTZ,TX,78154,
SCHWERTNER - MPO/MODULAR BLDG,1,Post Office,WILLIAMSON,14775 FM 1105,SCHWERTNER,TX,76573,
SEGUIN - MAIN OFFICE,1,Post Office,GUADALUPE,531 W COURT ST,SEGUIN,TX,78155,
SEYMOUR - MAIN OFFICE,1,Post Office,BAYLOR,210 N WASHINGTON ST,SEYMOUR,TX,76380,
SHAMROCK - MAIN OFFICE,1,Post Office,WHEELER,210 N MADDEN ST,SHAMROCK,TX,79079,
SHERMAN - MAIN OFFICE,1,Post Office,GRAYSON,701 E PEYTON ST,SHERMAN,TX,75090,
SLATON - MAIN OFFICE,1,Post Office,LUBBOCK,150 W LYNN ST,SLATON,TX,79364,
SMITHVILLE - MAIN OFFICE,1,Post Office,BASTROP,400 MAIN ST,SMITHVILLE,TX,78957,
SOUTHMAYD - MPO/MODULAR BLDG,1,Post Office,GRAYSON,102 CHRISTI LN,SOUTHMAYD,TX,76268,
SPADE - MPO/MODULAR BLDG,1,Post Office,LAMB,2756 FM 168,SPADE,TX,79369,
